Filename	Prep_Mandarin	Prep_original	Mandarin	Original	Engilsh_Parse	Original_Parse
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	tool at which	工具 在 哪儿 呢	tool at which	工具 在 哪儿 呢
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	originally at here	原来 在 这里 啊	originally at here	原来 在 这里 啊
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	originally at here	原来 在 这里 啊	originally at here	原来 在 这里 啊
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	this apple is at here	这个 苹果 是 在 这儿 吗	is at here	是 在 这儿
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	I next_time again for you buy	我们 下次 再 给 你 买	for you buy	给 你 买
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	put_piece_together small chair for it sit	拼 个 小 椅子 给 它 坐	it sit	给 它 坐
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	just at this_side put_piece_together small chair give Donald_Duck sit	就 在 这边 拼 个 小 椅子 给 唐老鸭 坐	at this_side put_piece_together	在 这边 拼
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	that at above	那个 在 上面	that at above	那个 在 上面
./CHILDES_Mandarin/Zhou3/000506.cha	dang1=when	当	I when you should hold radish	我 当 你 要 拿 个 萝卜 呢	when hold	当 拿
./CHILDES_Mandarin/Zhou3/000506.cha	wang3=go_toward	往	align go_toward inside twist	对准 了 往 里面 拧	inside twist	往 里面 拧
./CHILDES_Mandarin/Zhou3/000506.cha	an4=according_to	按	again hold two screw_cap according_to at this above	再 把 两 个 螺帽 按 在 这个 上面	hold screw_cap according_to at this	把 个 螺帽 按 在
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	again hold two screw_cap according_to at this above	再 把 两 个 螺帽 按 在 这个 上面	at this	按 在 上面
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	these install at inside far_more good	这些 装 在 里面 多 好 啊	install at inside	装 在 里面
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	I speak for you listen	我 来讲 给 你 听	for you listen	给 你 听
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	I prepare for you speak child pictorial_magazine	我 准备 给 你 讲 幼儿 画报 的	prepare for you pictorial_magazine	准备 给 你 画报
./CHILDES_Mandarin/Zhou3/000506.cha	gei3=for	给	I hold for you look	我 拿 给 你 看	for you look	给 你 看
./CHILDES_Mandarin/Zhou3/000506.cha	zai4=at	在	little_child at which you still know	小朋友 在 哪儿 啊 你 还 知道	at which	在 哪儿 知道
